"sim.id","model","name","LH","aicc","delta.aicc","w","tau0","gamma","lamb0","mu0","alpha","beta","eps"
"4065-30k","1","Equilibrium constant rate",3210.231276,-6418.460717,2114.553015,0,0.0398,NA,NA,NA,NA,NA,NA
"4065-30k","2","Equilibrium variable rate",3986.322334,-7968.639158,564.3745732,0,0.0125,0.0347,NA,NA,NA,NA,NA
"4065-30k","3","Birth-death constant rates (coalescent approx)",3872.891514,-7741.777519,791.2362132,0,NA,NA,0.0224,9.64e-10,NA,NA,NA
"4065-30k","4a","Birth-death varying speciation constant extinction (coalescent approx)",4189.317973,-8372.624922,160.3888092,0,NA,NA,0.0223,0.0223,0.0129,NA,NA
"4065-30k","4b","Birth-death constant speciation varying extinction (coalescent approx)",3872.891499,-7739.771973,793.241759,0,NA,NA,0.0224,8.43e-09,NA,-0.00627,NA
"4065-30k","4c","Birth-death constant extinction fraction (coalescent approx)",4159.035903,-8312.060782,220.9529496,0,NA,NA,0.0117,NA,0.0218,NA,0.435
"4065-30k","4d","Birth-death varying speciation and extinction (coalescent approx)",4270.516057,-8533.013732,0,1,NA,NA,0.014,0.014,0.0216,0.00937,NA
"4065-30k","5","Pure birth constant speciation (coalescent approx)",3872.891534,-7743.781233,789.2324989,0,NA,NA,0.0224,NA,NA,NA,NA
"4065-30k","6","Pure birth varying speciation (coalescent approx)",4145.601869,-8287.198229,245.8155029,0,NA,NA,0.0111,NA,0.017,NA,NA
"5525","1","Equilibrium constant rate",9590.705529,-19179.40956,196.7340573,0,0.27,NA,NA,NA,NA,NA,NA
"5525","2","Equilibrium variable rate",9621.412031,-19238.81957,137.3240506,0,0.244,0.00856,NA,NA,NA,NA,NA
"5525","3","Birth-death constant rates (coalescent approx)",9621.412207,-19238.81992,137.3236993,0,NA,NA,0.244,0.236,NA,NA,NA
"5525","4a","Birth-death varying speciation constant extinction (coalescent approx)",9125.320138,-18244.63128,1131.512334,0,NA,NA,0.132,2.78e-07,-0.0377,NA,NA
"5525","4b","Birth-death constant speciation varying extinction (coalescent approx)",9691.076305,-19376.14362,0,1,NA,NA,0.245,0.245,NA,-0.00164,NA
"5525","4c","Birth-death constant extinction fraction (coalescent approx)",9626.763081,-19247.51717,128.6264495,0,NA,NA,0.241,NA,0.00509,NA,0.983
"5525","4d","Birth-death varying speciation and extinction (coalescent approx)",9523.216947,-19038.4189,337.7247161,0,NA,NA,0.16,0.16,0.0101,0.0088,NA
