sim.id,model,name,LH,aicc,delta.aicc,w,tau0,gamma,lamb0,mu0,alpha,beta,eps
5530-30000,4c,Birth-death constant extinction fraction (coalescent approx),7355.173846,-14704.33857,188.3158781,0,NA,NA,0.065208243,NA,0.015947865,NA,0.882912772
5530-30000,4d,Birth-death varying speciation and extinction (coalescent approx),7450.334828,-14892.65445,0,0.53,NA,NA,0.074087224,0.074087216,0.01045412,0.005495636,NA
5530-30000,5,Pure birth constant speciation (coalescent approx),7146.93359,-14291.86566,600.7887864,0,NA,NA,0.04034375,NA,NA,NA,NA
5530-30000,6,Pure birth varying speciation (coalescent approx),7189.813493,-14375.62243,517.0320207,0,NA,NA,0.04866691,NA,-0.00631059,NA,NA
5531,1,Equilibrium constant rate,9846.341195,-19690.68091,186.9341732,0,0.27929,NA,NA,NA,NA,NA,NA
5531,2,Equilibrium variable rate,9869.385985,-19734.76753,142.8475499,0,0.255730947,0.007445135,NA,NA,NA,NA,NA
5531,3,Birth-death constant rates (coalescent approx),9869.386101,-19734.76777,142.847317,0,NA,NA,0.255722481,0.248267805,NA,NA,NA
5531,4a,Birth-death varying speciation constant extinction (coalescent approx),9326.805959,-18647.60305,1230.012038,0,NA,NA,0.136790498,7.80E-08,-0.039523576,NA,NA
5531,4b,Birth-death constant speciation varying extinction (coalescent approx),9941.811979,-19877.61508,0,0.99,NA,NA,0.253594589,0.253594582,NA,-0.001574136,NA
5531,4c,Birth-death constant extinction fraction (coalescent approx),9873.720303,-19741.43173,136.183351,0,NA,NA,0.252254076,NA,0.004469981,NA,0.985413047
5531,4d,Birth-death varying speciation and extinction (coalescent approx),9938.308922,-19868.60305,9.012032938,0.01,NA,NA,0.270702736,0.269072956,-0.004897512,-0.007020705,NA
5531,5,Pure birth constant speciation (coalescent approx),8127.389794,-16252.77811,3624.836974,0,NA,NA,0.049390625,NA,NA,NA,NA
5531,6,Pure birth varying speciation (coalescent approx),9326.80621,-18649.60799,1228.007099,0,NA,NA,0.136796646,NA,-0.039514432,NA,NA
5531-30000,1,Equilibrium constant rate,6846.117284,-13690.23306,1070.92896,0,0.10017,NA,NA,NA,NA,NA,NA
5531-30000,2,Equilibrium variable rate,7200.913887,-14397.82323,363.3387823,0,0.060382598,0.027266131,NA,NA,NA,NA,NA
5531-30000,3,Birth-death constant rates (coalescent approx),7200.914105,-14397.82367,363.3383461,0,NA,NA,0.060410813,0.033141816,NA,NA,NA
5531-30000,4a,Birth-death varying speciation constant extinction (coalescent approx),7383.585549,-14761.16202,0,0.63,NA,NA,0.069258092,0.069258008,0.007746604,NA,NA
5531-30000,4b,Birth-death constant speciation varying extinction (coalescent approx),7357.569691,-14709.1303,52.03171609,0,NA,NA,0.077534825,0.077534822,NA,-0.013227364,NA
5531-30000,4c,Birth-death constant extinction fraction (coalescent approx),7272.659902,-14539.31072,221.8512924,0,NA,NA,0.058724166,NA,0.016603888,NA,0.866768368
5531-30000,4d,Birth-death varying speciation and extinction (coalescent approx),7384.049514,-14760.08389,1.078128472,0.37,NA,NA,0.068695656,0.068695656,0.00901456,0.002192518,NA
5531-30000,5,Pure birth constant speciation (coalescent approx),7093.896151,-14185.79079,575.3712276,0,NA,NA,0.039289063,NA,NA,NA,NA
5531-30000,6,Pure birth varying speciation (coalescent approx),7111.416435,-14218.82833,542.3336844,0,NA,NA,0.044407614,NA,-0.004124822,NA,NA
5532,1,Equilibrium constant rate,9374.337184,-18746.67286,116.6270774,0,0.25513,NA,NA,NA,NA,NA,NA
5532,2,Equilibrium variable rate,9402.111787,-18800.21906,63.08088423,0,0.23048468,0.008046062,NA,NA,NA,NA,NA
5532,3,Birth-death constant rates (coalescent approx),9402.112147,-18800.21978,63.08016482,0,NA,NA,0.230546596,0.222486743,NA,NA,NA
5532,4a,Birth-death varying speciation constant extinction (coalescent approx),8887.23813,-17768.46722,1094.83272,0,NA,NA,0.123798778,5.36E-08,-0.035659739,NA,NA
5532,4b,Birth-death constant speciation varying extinction (coalescent approx),9391.497159,-18776.98528,86.31466163,0,NA,NA,0.201142227,0.188205601,NA,-0.00045909,NA
5532,4c,Birth-death constant extinction fraction (coalescent approx),9407.478168,-18808.9473,54.3526447,0,NA,NA,0.22698535,NA,0.004848957,NA,0.98278142
5532,4d,Birth-death varying speciation and extinction (coalescent approx),9435.657506,-18863.29994,0,1,NA,NA,0.235338764,0.230927316,-0.018102092,-0.026223216,NA
5532,5,Pure birth constant speciation (coalescent approx),7837.338119,-15672.67473,3190.625208,0,NA,NA,0.047710938,NA,NA,NA,NA
5532,6,Pure birth varying speciation (coalescent approx),8887.238184,-17770.47185,1092.828091,0,NA,NA,0.123805182,NA,-0.035655402,NA,NA
5532-30000,1,Equilibrium constant rate,7062.506944,-14123.01239,1069.359438,0,0.10405,NA,NA,NA,NA,NA,NA
5532-30000,2,Equilibrium variable rate,7396.045284,-14788.08608,404.2857474,0,0.063421248,0.027174313,NA,NA,NA,NA,NA
5532-30000,3,Birth-death constant rates (coalescent approx),7396.045727,-14788.08697,404.2848617,0,NA,NA,0.063342599,0.03614262,NA,NA,NA
5532-30000,4a,Birth-death varying speciation constant extinction (coalescent approx),7599.190402,-15192.37183,0,1,NA,NA,0.071648507,0.071648506,0.007947665,NA,NA
5532-30000,4b,Birth-death constant speciation varying extinction (coalescent approx),7574.254443,-15142.49991,49.87191684,0,NA,NA,0.080544974,0.080544967,NA,-0.013823554,NA
5532-30000,4c,Birth-death constant extinction fraction (coalescent approx),7472.219692,-14938.43041,253.9414193,0,NA,NA,0.060729411,NA,0.01683793,NA,0.866087778
5532-30000,4d,Birth-death varying speciation and extinction (coalescent approx),7549.743619,-15091.47228,100.8995515,0,NA,NA,0.059899083,0.059899083,0.021901959,0.019798195,NA
5532-30000,5,Pure birth constant speciation (coalescent approx),7278.802736,-14555.60398,636.7678525,0,NA,NA,0.040289063,NA,NA,NA,NA
5532-30000,6,Pure birth varying speciation (coalescent approx),7294.390803,-14584.77712,607.594709,0,NA,NA,0.04530228,NA,-0.004102371,NA,NA
5533,1,Equilibrium constant rate,9445.955048,-18889.9086,183.7595032,0,0.25641,NA,NA,NA,NA,NA,NA
5533,2,Equilibrium variable rate,9470.797764,-18937.59103,136.0770697,0,0.233432844,0.007386346,NA,NA,NA,NA,NA
5533,3,Birth-death constant rates (coalescent approx),9470.797867,-18937.59124,136.0768634,0,NA,NA,0.233487738,0.226108095,NA,NA,NA
5533,4a,Birth-death varying speciation constant extinction (coalescent approx),8955.276709,-17904.54442,1169.123679,0,NA,NA,0.124465117,4.66E-08,-0.035674198,NA,NA
5533,4b,Birth-death constant speciation varying extinction (coalescent approx),9539.838548,-19073.6681,0,1,NA,NA,0.232787226,0.232787226,NA,-0.001535114,NA
5533,4c,Birth-death constant extinction fraction (coalescent approx),9475.230851,-18944.45271,129.2153934,0,NA,NA,0.230473414,NA,0.004367057,NA,0.984393261
5533,4d,Birth-death varying speciation and extinction (coalescent approx),9510.294607,-19012.57422,61.09388536,0,NA,NA,0.271638755,0.271638707,-0.018185071,-0.024945484,NA
5533,5,Pure birth constant speciation (coalescent approx),7808.203726,-15614.40595,3459.262147,0,NA,NA,0.046421875,NA,NA,NA,NA
5533,6,Pure birth varying speciation (coalescent approx),8955.277065,-17906.54963,1167.118466,0,NA,NA,0.124529403,NA,-0.035701175,NA,NA
5533-30000,1,Equilibrium constant rate,7098.452708,-14194.90393,1131.732407,0,0.10281,NA,NA,NA,NA,NA,NA
5533-30000,2,Equilibrium variable rate,7427.977626,-14851.9508,474.6855399,0,0.061774511,0.027770017,NA,NA,NA,NA,NA
5533-30000,3,Birth-death constant rates (coalescent approx),7427.977926,-14851.9514,474.6849386,0,NA,NA,0.061825685,0.034081229,NA,NA,NA
5533-30000,4a,Birth-death varying speciation constant extinction (coalescent approx),7666.322624,-15326.63634,0,1,NA,NA,0.067524522,0.067524521,0.00921449,NA,NA
5533-30000,4b,Birth-death constant speciation varying extinction (coalescent approx),7572.086583,-15138.16426,188.4720814,0,NA,NA,0.060065552,0.060065549,NA,-0.034401502,NA
5533-30000,4c,Birth-death constant extinction fraction (coalescent approx),7512.82477,-15019.64063,306.9957073,0,NA,NA,0.057607357,NA,0.017892175,NA,0.851644549
5533-30000,4d,Birth-death varying speciation and extinction (coalescent approx),7602.108905,-15196.20296,130.433381,0,NA,NA,0.058738376,0.058731056,0.002884825,-0.022764084,NA
5533-30000,5,Pure birth constant speciation (coalescent approx),7329.176958,-14656.35243,670.283906,0,NA,NA,0.040492188,NA,NA,NA,NA
5533-30000,6,Pure birth varying speciation (coalescent approx),7334.695792,-14665.38713,661.2492065,0,NA,NA,0.043629337,NA,-0.002725047,NA,NA
5534,1,Equilibrium constant rate,9656.108573,-19310.21566,180.7572673,0,0.26745,NA,NA,NA,NA,NA,NA
5534,2,Equilibrium variable rate,9681.284818,-19358.56518,132.4077518,0,0.243892885,0.007560961,NA,NA,NA,NA,NA
5534,3,Birth-death constant rates (coalescent approx),9681.28508,-19358.5657,132.4072285,0,NA,NA,0.244037031,0.236485689,NA,NA,NA
5534,4a,Birth-death varying speciation constant extinction (coalescent approx),9161.801732,-18317.59454,1173.378388,0,NA,NA,0.130121395,7.62E-08,-0.037139887,NA,NA
5534,4b,Birth-death constant speciation varying extinction (coalescent approx),9748.490926,-19490.97293,0,1,NA,NA,0.243715329,0.243715329,NA,-0.001502509,NA
5534,4c,Birth-death constant extinction fraction (coalescent approx),9685.687058,-19365.36519,125.607736,0,NA,NA,0.240943754,NA,0.004470863,NA,0.984822804
5534,4d,Birth-death varying speciation and extinction (coalescent approx),9639.786788,-19271.5587,219.4142312,0,NA,NA,0.190827175,0.190788257,0.015206056,0.014976031,NA
5534,5,Pure birth constant speciation (coalescent approx),7956.478735,-15910.95598,3580.016943,0,NA,NA,0.047539063,NA,NA,NA,NA
5534,6,Pure birth varying speciation (coalescent approx),9161.802325,-18319.60019,1171.372737,0,NA,NA,0.130165053,NA,-0.037167102,NA,NA
5534-30000,1,Equilibrium constant rate,7128.11351,-14254.22554,903.5676036,0,0.10269,NA,NA,NA,NA,NA,NA
5534-30000,2,Equilibrium variable rate,7389.127939,-14774.25144,383.5417053,0,0.067306668,0.021646111,NA,NA,NA,NA,NA
5534-30000,3,Birth-death constant rates (coalescent approx),7389.128056,-14774.25167,383.5414709,0,NA,NA,0.067326597,0.045696903,NA,NA,NA
5534-30000,4a,Birth-death varying speciation constant extinction (coalescent approx),7581.901012,-15157.79314,0,0.76,NA,NA,0.07231284,0.072312839,0.006498013,NA,NA
5534-30000,4b,Birth-death constant speciation varying extinction (coalescent approx),7560.572948,-15115.13702,42.65612684,0,NA,NA,0.073231537,0.073231533,NA,-0.012277544,NA
5534-30000,4c,Birth-death constant extinction fraction (coalescent approx),7446.127681,-14886.24648,271.5466619,0,NA,NA,0.064110685,NA,0.013426956,NA,0.886956525
5534-30000,4d,Birth-death varying speciation and extinction (coalescent approx),7581.740109,-15155.46541,2.327730135,0.24,NA,NA,0.071792603,0.071789026,0.007083209,0.001006936,NA
5534-30000,5,Pure birth constant speciation (coalescent approx),7182.984512,-14363.96755,793.8255985,0,NA,NA,0.037171875,NA,NA,NA,NA
5534-30000,6,Pure birth varying speciation (coalescent approx),7239.493853,-14474.98327,682.809876,0,NA,NA,0.04676244,NA,-0.007448649,NA,NA
5535,1,Equilibrium constant rate,9562.679764,-19123.35803,178.6416885,0,0.27001,NA,NA,NA,NA,NA,NA
5535,2,Equilibrium variable rate,9591.13014,-19178.25578,123.7439399,0,0.245615909,0.007987598,NA,NA,NA,NA,NA
5535,3,Birth-death constant rates (coalescent approx),9591.130357,-19178.25621,123.743506,0,NA,NA,0.245479409,0.237473693,NA,NA,NA
5535,4a,Birth-death varying speciation constant extinction (coalescent approx),9094.995356,-18183.9817,1118.018017,0,NA,NA,0.132333087,3.28E-08,-0.037444537,NA,NA
5535,4b,Birth-death constant speciation varying extinction (coalescent approx),9654.004364,-19301.99972,0,1,NA,NA,0.246531948,0.246531946,NA,-0.001443137,NA
5535,4c,Birth-death constant extinction fraction (coalescent approx),9595.813199,-19185.61739,116.3823309,0,NA,NA,0.24255932,NA,0.004705634,NA,0.984448256
5535,4d,Birth-death varying speciation and extinction (coalescent approx),9478.673805,-18949.33258,352.6671326,0,NA,NA,0.240078924,0.240078922,-0.033078392,-0.063734314,NA
5535,5,Pure birth constant speciation (coalescent approx),7842.551271,-15683.10104,3618.898676,0,NA,NA,0.047316406,NA,NA,NA,NA
5535,6,Pure birth varying speciation (coalescent approx),9094.995412,-18185.98632,1116.013396,0,NA,NA,0.132345316,NA,-0.037442805,NA,NA
5535-30000,1,Equilibrium constant rate,6993.097794,-13984.19411,842.5996974,0,0.09833,NA,NA,NA,NA,NA,NA
5535-30000,2,Equilibrium variable rate,7210.147222,-14416.29,410.5038054,0,0.066281208,0.018824913,NA,NA,NA,NA,NA
5535-30000,3,Birth-death constant rates (coalescent approx),7210.147589,-14416.29073,410.5030717,0,NA,NA,0.06633568,0.047528434,NA,NA,NA
5535-30000,4a,Birth-death varying speciation constant extinction (coalescent approx),7416.40135,-14826.7938,0,1,NA,NA,0.068335014,0.068335013,0.006255342,NA,NA
5535-30000,4b,Birth-death constant speciation varying extinction (coalescent approx),7401.299044,-14796.58919,30.20461235,0,NA,NA,0.074302,0.074301995,NA,-0.010283872,NA
5535-30000,4c,Birth-death constant extinction fraction (coalescent approx),7262.051485,-14518.09408,308.6997288,0,NA,NA,0.062271668,NA,0.011897806,NA,0.889838898
5535-30000,4d,Birth-death varying speciation and extinction (coalescent approx),7319.701545,-14631.38826,195.4055453,0,NA,NA,0.064107123,0.064076869,-0.004890112,-0.030048903,NA
5535-30000,5,Pure birth constant speciation (coalescent approx),6977.906445,-13953.81141,872.9823951,0,NA,NA,0.034917969,NA,NA,NA,NA
5535-30000,6,Pure birth varying speciation (coalescent approx),7037.059773,-14070.1151,756.6787034,0,NA,NA,0.044729651,NA,-0.007794928,NA,NA
5536,1,Equilibrium constant rate,9502.722834,-19003.44417,175.410495,0,0.26457,NA,NA,NA,NA,NA,NA
5536,2,Equilibrium variable rate,9529.033919,-19054.06333,124.7913293,0,0.241095849,0.007557937,NA,NA,NA,NA,NA
5536,3,Birth-death constant rates (coalescent approx),9529.033907,-19054.06331,124.7913534,0,NA,NA,0.241040229,0.233466962,NA,NA,NA
5536,4a,Birth-death varying speciation constant extinction (coalescent approx),9021.923461,-18037.83791,1141.016754,0,NA,NA,0.129660448,8.12E-08,-0.03696609,NA,NA
5536,4b,Birth-death constant speciation varying extinction (coalescent approx),9592.431838,-19178.85466,0,1,NA,NA,0.234577986,0.234577986,NA,-0.001522566,NA
5536,4c,Birth-death constant extinction fraction (coalescent approx),9533.492258,-19060.9755,117.8791596,0,NA,NA,0.238137588,NA,0.004465531,NA,0.984805759
5536,4d,Birth-death varying speciation and extinction (coalescent approx),9344.574545,-18681.13406,497.7206018,0,NA,NA,0.178283038,0.127264857,-0.026435648,-0.039124764,NA
5536,5,Pure birth constant speciation (coalescent approx),7790.238988,-15578.47647,3600.378186,0,NA,NA,0.046480469,NA,NA,NA,NA
5536,6,Pure birth varying speciation (coalescent approx),9021.923548,-18039.84259,1139.012071,0,NA,NA,0.129679634,NA,-0.036970927,NA,NA
5536-30000,1,Equilibrium constant rate,7027.096595,-14052.19172,813.2499987,0,0.09789,NA,NA,NA,NA,NA,NA
5536-30000,2,Equilibrium variable rate,7243.16621,-14482.328,383.1137199,0,0.066606787,0.01825207,NA,NA,NA,NA,NA
5536-30000,3,Birth-death constant rates (coalescent approx),7243.166594,-14482.32876,383.112951,0,NA,NA,0.066645005,0.048393689,NA,NA,NA
5536-30000,4a,Birth-death varying speciation constant extinction (coalescent approx),7435.725284,-14865.44172,0,1,NA,NA,0.068896109,0.068896107,0.005902705,NA,NA
5536-30000,4b,Birth-death constant speciation varying extinction (coalescent approx),7422.261051,-14838.51325,26.92846503,0,NA,NA,0.074740842,0.074740841,NA,-0.009482209,NA
5536-30000,4c,Birth-death constant extinction fraction (coalescent approx),7290.920033,-14575.83121,289.6105028,0,NA,NA,0.063112538,NA,0.011373905,NA,0.894948119
5536-30000,4d,Birth-death varying speciation and extinction (coalescent approx),7406.348152,-14804.68154,60.76017043,0,NA,NA,0.0613467,0.061345917,0.013549482,0.010453036,NA
5536-30000,5,Pure birth constant speciation (coalescent approx),6991.466179,-13980.93088,884.5108304,0,NA,NA,0.034421875,NA,NA,NA,NA
5536-30000,6,Pure birth varying speciation (coalescent approx),7068.596173,-14133.18792,732.253793,0,NA,NA,0.045450322,NA,-0.008556327,NA,NA
5537,1,Equilibrium constant rate,9626.841134,-19251.68078,183.599202,0,0.27049,NA,NA,NA,NA,NA,NA
5537,2,Equilibrium variable rate,9653.072551,-19302.14062,133.1393569,0,0.246456788,0.007760213,NA,NA,NA,NA,NA
5537,3,Birth-death constant rates (coalescent approx),9653.072638,-19302.14079,133.1391839,0,NA,NA,0.246398952,0.238624031,NA,NA,NA
5537,4a,Birth-death varying speciation constant extinction (coalescent approx),9130.905624,-18255.80228,1179.477698,0,NA,NA,0.1317589,2.45E-08,-0.037646094,NA,NA
5537,4b,Birth-death constant speciation varying extinction (coalescent approx),9720.644473,-19435.27998,0,1,NA,NA,0.245261604,0.245248485,NA,-0.001513225,NA
5537,4c,Birth-death constant extinction fraction (coalescent approx),9657.727651,-19309.44633,125.8336429,0,NA,NA,0.243167159,NA,0.00461132,NA,0.984583723
5537,4d,Birth-death varying speciation and extinction (coalescent approx),9564.251045,-19120.48714,314.792841,0,NA,NA,0.22364148,0.223627779,-0.029089695,-0.053199782,NA
5537,5,Pure birth constant speciation (coalescent approx),7924.283496,-15846.5655,3588.714479,0,NA,NA,0.047789063,NA,NA,NA,NA
5537,6,Pure birth varying speciation (coalescent approx),9130.905717,-18257.80695,1177.473026,0,NA,NA,0.131802497,NA,-0.037663642,NA,NA
5537-30000,1,Equilibrium constant rate,6736.69819,-13471.39488,935.2148422,0,0.09249,NA,NA,NA,NA,NA,NA
5537-30000,2,Equilibrium variable rate,6992.929526,-13981.85456,424.7551648,0,0.059665613,0.020451352,NA,NA,NA,NA,NA
5537-30000,3,Birth-death constant rates (coalescent approx),6992.930398,-13981.85631,424.7534197,0,NA,NA,0.059712503,0.039299933,NA,NA,NA
5537-30000,4a,Birth-death varying speciation constant extinction (coalescent approx),7206.309354,-14406.60973,0,1,NA,NA,0.062804414,0.062804402,0.006811117,NA,NA
5537-30000,4b,Birth-death constant speciation varying extinction (coalescent approx),7184.416525,-14362.82407,43.78565804,0,NA,NA,0.0689967,0.068996697,NA,-0.011744308,NA
5537-30000,4c,Birth-death constant extinction fraction (coalescent approx),7054.048606,-14102.08823,304.5214965,0,NA,NA,0.056026121,NA,0.012881305,NA,0.874582515
5537-30000,4d,Birth-death varying speciation and extinction (coalescent approx),7098.523692,-14189.03241,217.5773185,0,NA,NA,0.046386711,0.046386709,0.003988663,-0.015936712,NA
5537-30000,5,Pure birth constant speciation (coalescent approx),6821.914406,-13641.82732,764.782411,0,NA,NA,0.034273438,NA,NA,NA,NA
5537-30000,6,Pure birth varying speciation (coalescent approx),6854.424865,-13704.84524,701.7644853,0,NA,NA,0.041115994,NA,-0.005622185,NA,NA
5538,1,Equilibrium constant rate,9518.377145,-19034.75279,178.4410373,0,0.26297,NA,NA,NA,NA,NA,NA
5538,2,Equilibrium variable rate,9542.942645,-19081.88079,131.313034,0,0.240153272,0.007307654,NA,NA,NA,NA,NA
5538,3,Birth-death constant rates (coalescent approx),9542.942906,-19081.88132,131.312512,0,NA,NA,0.240068074,0.232734917,NA,NA,NA
5538,4a,Birth-death varying speciation constant extinction (coalescent approx),9028.659291,-18051.30959,1161.884239,0,NA,NA,0.129381836,2.57E-08,-0.037211059,NA,NA
5538,4b,Birth-death constant speciation varying extinction (coalescent approx),9609.601411,-19213.19383,0,1,NA,NA,0.236706643,0.236706643,NA,-0.001416013,NA
5538,4c,Birth-death constant extinction fraction (coalescent approx),9547.253999,-19088.49901,124.6948234,0,NA,NA,0.236989869,NA,0.004345203,NA,0.984961176
5538,4d,Birth-death varying speciation and extinction (coalescent approx),9403.914877,-18799.81476,413.3790679,0,NA,NA,0.168167401,0.16185514,-0.015860708,-0.030336532,NA
5538,5,Pure birth constant speciation (coalescent approx),7828.759642,-15655.51779,3557.676042,0,NA,NA,0.046703125,NA,NA,NA,NA
5538,6,Pure birth varying speciation (coalescent approx),9028.659304,-18053.31411,1159.879714,0,NA,NA,0.12937749,NA,-0.037206951,NA,NA
5538-30000,1,Equilibrium constant rate,6758.840278,-13515.67905,948.1707466,0,0.09617,NA,NA,NA,NA,NA,NA
5538-30000,2,Equilibrium variable rate,7033.011887,-14062.01924,401.8305487,0,0.061462632,0.021984453,NA,NA,NA,NA,NA
5538-30000,3,Birth-death constant rates (coalescent approx),7033.01203,-14062.01953,401.8302614,0,NA,NA,0.061431925,0.039440877,NA,NA,NA
5538-30000,4a,Birth-death varying speciation constant extinction (coalescent approx),7234.929427,-14463.84979,0,1,NA,NA,0.065958293,0.065958291,0.006959734,NA,NA
5538-30000,4b,Birth-death constant speciation varying extinction (coalescent approx),7179.852661,-14353.69626,110.1535315,0,NA,NA,0.060069679,0.060069679,NA,-0.019986622,NA
5538-30000,4c,Birth-death constant extinction fraction (coalescent approx),7094.961906,-14183.91475,279.9350409,0,NA,NA,0.058170685,NA,0.013723451,NA,0.874922592
